fold,acc,precision,npv,sensitivity,specificity,mcc,f1,roc_auc,aupr,tn,fp,fn,tp
1,0.92,0.8962264066393736,0.9468085005658671,0.9499999905000002,0.8899999911000002,0.8415160946016006,0.9223300926100481,0.9749,0.9731053036167732,89.0,11.0,5.0,95.0
2,0.9447236180904522,0.9313725398885045,0.9587628767137848,0.9595959499030713,0.9299999907000002,0.8898656566350551,0.9452736271379422,0.9701010101010102,0.9708695785108477,93.0,7.0,4.0,95.0
3,0.9296482412060302,0.9292929199061322,0.9299999907000002,0.9292929199061322,0.9299999907000002,0.859292929206132,0.9292929245995307,0.9793939393939395,0.9802360430435554,93.0,7.0,7.0,92.0
4,0.8944723618090452,0.8910891000882267,0.8979591745106207,0.8999999910000002,0.8888888799102134,0.7889685866311703,0.8955223836043663,0.9489898989898989,0.9484057546385841,88.0,11.0,10.0,90.0
5,0.9346733668341709,0.9223300881327177,0.9479166567925349,0.9499999905000002,0.9191919099071525,0.8697191814632078,0.9359605865223617,0.9819191919191919,0.9810601736163558,91.0,8.0,5.0,95.0
mean,0.9247035175879397,0.9140622109309909,0.9362894398565615,0.9377777683618407,0.9116161524634732,0.8498724897074332,0.9256759228948498,0.9710608080808081,0.9707353706852231,90.8,8.8,6.2,93.4
