fpr,rus_mean_tpr,rus_std_tpr,smote_mean_tpr,smote_std_tpr
0.0,0.0,0.0,0.0,0.0
0.005025125628140704,0.2578947368421053,0.024404259198672913,0.25,0.01441375151329386
0.010050251256281407,0.42105263157894735,0.04707511531578504,0.46842105263157896,0.03286841051788631
0.01507537688442211,0.42105263157894735,0.04707511531578504,0.46842105263157896,0.03286841051788631
0.020100502512562814,0.4921052631578947,0.025784102555612393,0.5078947368421053,0.043719072962726716
0.02512562814070352,0.5,0.022017369119317787,0.5578947368421053,0.027093763528913132
0.03015075376884422,0.5,0.022017369119317787,0.5578947368421053,0.027093763528913132
0.035175879396984924,0.5078947368421053,0.021379048433252543,0.5842105263157895,0.038676153833418596
0.04020100502512563,0.5578947368421054,0.017848236797698046,0.6157894736842107,0.03471291041650766
0.04522613065326633,0.5578947368421054,0.017848236797698046,0.6157894736842107,0.03471291041650766
0.05025125628140704,0.5921052631578948,0.027600232846582935,0.6473684210526317,0.04356038251907066
0.05527638190954774,0.6131578947368421,0.019692933614599718,0.6736842105263158,0.04025541721257462
0.06030150753768844,0.6131578947368421,0.019692933614599718,0.6736842105263158,0.04025541721257462
0.06532663316582915,0.6473684210526315,0.01534461024959291,0.6947368421052632,0.03569647359539615
0.07035175879396985,0.6605263157894736,0.01933807691670931,0.7315789473684211,0.02709376352891316
0.07537688442211056,0.6605263157894736,0.01933807691670931,0.7315789473684211,0.02709376352891316
0.08040201005025126,0.6973684210526316,0.018608073189119684,0.7552631578947369,0.02834297266912898
0.08542713567839195,0.6973684210526316,0.018608073189119684,0.7552631578947369,0.02834297266912898
0.09045226130653267,0.713157894736842,0.01534461024959291,0.7605263157894737,0.021052631578947385
0.09547738693467336,0.7394736842105264,0.012892051277806214,0.7710526315789473,0.017848236797698078
0.10050251256281408,0.7394736842105264,0.012892051277806214,0.7710526315789473,0.017848236797698078
0.10552763819095477,0.7578947368421053,0.019692933614599718,0.781578947368421,0.01784823679769809
0.11055276381909548,0.7657894736842106,0.0128920512778062,0.7868421052631579,0.009846466807299876
0.11557788944723618,0.7657894736842106,0.0128920512778062,0.7868421052631579,0.009846466807299876
0.12060301507537688,0.7789473684210526,0.021052631578947344,0.7947368421052632,0.010526315789473717
0.12562814070351758,0.7947368421052632,0.021379048433252525,0.8,0.017455919949238966
0.1306532663316583,0.7947368421052632,0.021379048433252525,0.8,0.017455919949238966
0.135678391959799,0.7973684210526316,0.01784823679769809,0.8157894736842104,0.022017369119317766
0.1407035175879397,0.8026315789473685,0.018608073189119684,0.8184210526315789,0.022637698071164798
0.1457286432160804,0.8026315789473685,0.018608073189119684,0.8184210526315789,0.022637698071164798
0.15075376884422112,0.8157894736842106,0.03223012819451552,0.8394736842105264,0.015344610249592895
0.15577889447236182,0.8157894736842106,0.03223012819451552,0.8394736842105264,0.015344610249592895
0.16080402010050251,0.8210526315789475,0.03390552296506613,0.85,0.021379048433252525
0.1658291457286432,0.8315789473684211,0.026836944808383077,0.8526315789473683,0.017455919949238934
0.1708542713567839,0.8315789473684211,0.026836944808383077,0.8526315789473683,0.017455919949238934
0.17587939698492464,0.844736842105263,0.02411881944713602,0.8657894736842104,0.01933807691670931
0.18090452261306533,0.8473684210526315,0.02137904843325254,0.8789473684210526,0.017455919949238955
0.18592964824120603,0.8473684210526315,0.02137904843325254,0.8789473684210526,0.017455919949238955
0.19095477386934673,0.8578947368421053,0.02551410451271752,0.8842105263157893,0.017455919949238966
0.19597989949748745,0.8578947368421053,0.02551410451271752,0.9,0.013418472404191547
0.20100502512562815,0.8578947368421053,0.02551410451271752,0.9,0.013418472404191547
0.20603015075376885,0.8657894736842107,0.03046272869155324,0.9,0.013418472404191547
0.21105527638190955,0.8789473684210527,0.017455919949238955,0.9026315789473683,0.01784823679769809
0.21608040201005024,0.8789473684210527,0.017455919949238955,0.9026315789473683,0.01784823679769809
0.22110552763819097,0.8842105263157896,0.012892051277806214,0.9078947368421053,0.016643566632465173
0.22613065326633167,0.8842105263157896,0.012892051277806214,0.9078947368421053,0.016643566632465173
0.23115577889447236,0.8921052631578947,0.017455919949238934,0.9184210526315789,0.012892051277806186
0.23618090452261306,0.8947368421052632,0.01441375151329385,0.9210526315789472,0.011768778828946249
0.24120603015075376,0.8947368421052632,0.01441375151329385,0.9210526315789472,0.011768778828946249
0.24623115577889448,0.9026315789473683,0.01578947368421053,0.9210526315789472,0.011768778828946249
0.25125628140703515,0.9105263157894736,0.021052631578947347,0.9236842105263158,0.009846466807299841
0.2562814070351759,0.9105263157894736,0.021052631578947347,0.9236842105263158,0.009846466807299841
0.2613065326633166,0.9105263157894736,0.021052631578947347,0.9236842105263158,0.009846466807299841
0.2663316582914573,0.9105263157894736,0.021052631578947347,0.9263157894736842,0.010526315789473679
0.271356783919598,0.9105263157894736,0.021052631578947347,0.9263157894736842,0.010526315789473679
0.2763819095477387,0.9131578947368422,0.025784102555612393,0.9263157894736842,0.010526315789473679
0.2814070351758794,0.9157894736842105,0.024404259198672895,0.9315789473684211,0.012892051277806174
0.2864321608040201,0.9157894736842105,0.024404259198672895,0.9315789473684211,0.012892051277806174
0.2914572864321608,0.9157894736842105,0.024404259198672895,0.9342105263157896,0.01441375151329381
0.2964824120603015,0.9157894736842105,0.024404259198672895,0.9342105263157896,0.01441375151329381
0.30150753768844224,0.9184210526315789,0.025514104512717514,0.9368421052631579,0.00984646680729983
0.3065326633165829,0.9236842105263158,0.026836944808383063,0.9421052631578947,0.006446025638903066
0.31155778894472363,0.9236842105263158,0.026836944808383063,0.9421052631578947,0.006446025638903066
0.3165829145728643,0.9236842105263158,0.026836944808383063,0.9421052631578947,0.006446025638903066
0.32160804020100503,0.9236842105263158,0.026836944808383063,0.9421052631578947,0.006446025638903066
0.32663316582914576,0.9236842105263158,0.026836944808383063,0.9421052631578947,0.006446025638903066
0.3316582914572864,0.9289473684210525,0.024404259198672885,0.9447368421052632,0.005263157894736814
0.33668341708542715,0.9289473684210525,0.024404259198672885,0.9447368421052632,0.005263157894736814
0.3417085427135678,0.9289473684210525,0.024404259198672885,0.9447368421052632,0.005263157894736814
0.34673366834170855,0.9394736842105263,0.02953940042189952,0.9447368421052632,0.005263157894736814
0.35175879396984927,0.9394736842105263,0.02953940042189952,0.9473684210526315,0.008321783316232567
0.35678391959798994,0.9394736842105263,0.02953940042189952,0.9473684210526315,0.008321783316232567
0.36180904522613067,0.9421052631578947,0.029539400421899523,0.95,0.009846466807299841
0.36683417085427134,0.9421052631578947,0.029539400421899523,0.95,0.009846466807299841
0.37185929648241206,0.9473684210526315,0.0249653499486977,0.95,0.009846466807299841
0.3768844221105528,0.9526315789473685,0.025784102555612375,0.9552631578947368,0.006446025638903121
0.38190954773869346,0.9526315789473685,0.025784102555612375,0.9552631578947368,0.006446025638903121
0.3869346733668342,0.9578947368421054,0.017455919949238934,0.9605263157894737,0.008321783316232604
0.3919597989949749,0.9605263157894737,0.01441375151329385,0.9631578947368421,0.012892051277806202
0.3969849246231156,0.9605263157894737,0.01441375151329385,0.9631578947368421,0.012892051277806202
0.4020100502512563,0.9605263157894737,0.01441375151329385,0.9657894736842106,0.010526315789473672
0.40703517587939697,0.9631578947368421,0.01534461024959291,0.9657894736842106,0.010526315789473672
0.4120603015075377,0.9631578947368421,0.01534461024959291,0.9657894736842106,0.010526315789473672
0.4170854271356784,0.9657894736842106,0.013418472404191547,0.968421052631579,0.010526315789473677
0.4221105527638191,0.968421052631579,0.01341847240419155,0.968421052631579,0.010526315789473677
0.4271356783919598,0.968421052631579,0.01341847240419155,0.968421052631579,0.010526315789473677
0.4321608040201005,0.9736842105263157,0.008321783316232567,0.9736842105263157,0.008321783316232567
0.4371859296482412,0.9736842105263157,0.008321783316232567,0.9736842105263157,0.008321783316232567
0.44221105527638194,0.9736842105263157,0.008321783316232567,0.9763157894736842,0.00984646680729983
0.4472361809045226,0.9736842105263157,0.008321783316232567,0.9815789473684211,0.006446025638903066
0.45226130653266333,0.9736842105263157,0.008321783316232567,0.9815789473684211,0.006446025638903066
0.457286432160804,0.9789473684210526,0.006446025638903066,0.9842105263157894,0.005263157894736814
0.4623115577889447,0.9789473684210526,0.006446025638903066,0.9842105263157894,0.005263157894736814
0.46733668341708545,0.9789473684210526,0.006446025638903066,0.9842105263157894,0.005263157894736814
0.4723618090452261,0.9815789473684211,0.010526315789473667,0.9894736842105264,0.0052631578947368585
0.47738693467336685,0.9815789473684211,0.010526315789473667,0.9921052631578948,0.006446025638903121
0.4824120603015075,0.9815789473684211,0.010526315789473667,0.9921052631578948,0.006446025638903121
0.48743718592964824,0.9868421052631579,0.011768778828946249,0.9947368421052631,0.006446025638903121
0.49246231155778897,0.9921052631578947,0.006446025638903121,0.9947368421052631,0.006446025638903121
0.49748743718592964,0.9921052631578947,0.006446025638903121,0.9947368421052631,0.006446025638903121
0.5025125628140703,0.9921052631578947,0.006446025638903121,0.9947368421052631,0.006446025638903121
0.507537688442211,0.9921052631578947,0.006446025638903121,0.9947368421052631,0.006446025638903121
0.5125628140703518,0.9947368421052631,0.006446025638903121,0.9947368421052631,0.006446025638903121
0.5175879396984925,0.9947368421052631,0.006446025638903121,0.9973684210526315,0.0052631578947368585
0.5226130653266332,0.9947368421052631,0.006446025638903121,0.9973684210526315,0.0052631578947368585
