recall,rus_mean_precision,rus_std_precision,smote_mean_precision,smote_std_precision
0.0,1.0,0.0,1.0,0.0
0.005025125628140704,1.0,0.0,1.0,0.0
0.010050251256281407,1.0,0.0,1.0,0.0
0.01507537688442211,1.0,0.0,1.0,0.0
0.020100502512562814,1.0,0.0,1.0,0.0
0.02512562814070352,1.0,0.0,1.0,0.0
0.03015075376884422,1.0,0.0,1.0,0.0
0.035175879396984924,1.0,0.0,1.0,0.0
0.04020100502512563,1.0,0.0,1.0,0.0
0.04522613065326633,1.0,0.0,1.0,0.0
0.05025125628140704,1.0,0.0,1.0,0.0
0.05527638190954774,1.0,0.0,1.0,0.0
0.06030150753768844,1.0,0.0,1.0,0.0
0.06532663316582915,1.0,0.0,1.0,0.0
0.07035175879396985,1.0,0.0,1.0,0.0
0.07537688442211056,1.0,0.0,1.0,0.0
0.08040201005025126,1.0,0.0,1.0,0.0
0.08542713567839195,1.0,0.0,1.0,0.0
0.09045226130653267,1.0,0.0,1.0,0.0
0.09547738693467336,1.0,0.0,1.0,0.0
0.10050251256281408,1.0,0.0,1.0,0.0
0.10552763819095477,1.0,0.0,1.0,0.0
0.11055276381909548,1.0,0.0,1.0,0.0
0.11557788944723618,1.0,0.0,1.0,0.0
0.12060301507537688,1.0,0.0,1.0,0.0
0.12562814070351758,1.0,0.0,1.0,0.0
0.1306532663316583,1.0,0.0,1.0,0.0
0.135678391959799,1.0,0.0,1.0,0.0
0.1407035175879397,1.0,0.0,1.0,0.0
0.1457286432160804,1.0,0.0,1.0,0.0
0.15075376884422112,1.0,0.0,1.0,0.0
0.15577889447236182,1.0,0.0,1.0,0.0
0.16080402010050251,1.0,0.0,1.0,0.0
0.1658291457286432,1.0,0.0,1.0,0.0
0.1708542713567839,1.0,0.0,1.0,0.0
0.17587939698492464,1.0,0.0,1.0,0.0
0.18090452261306533,1.0,0.0,1.0,0.0
0.18592964824120603,1.0,0.0,1.0,0.0
0.19095477386934673,1.0,0.0,1.0,0.0
0.19597989949748745,1.0,0.0,1.0,0.0
0.20100502512562815,1.0,0.0,1.0,0.0
0.20603015075376885,1.0,0.0,1.0,0.0
0.21105527638190955,1.0,0.0,1.0,0.0
0.21608040201005024,1.0,0.0,1.0,0.0
0.22110552763819097,1.0,0.0,1.0,0.0
0.22613065326633167,0.9980428458079873,0.0039143083840254,1.0,0.0
0.23115577889447236,0.9940227453054747,0.01195450938905056,1.0,0.0
0.23618090452261306,0.9900026448029621,0.019994710394075677,1.0,0.0
0.24120603015075376,0.9863316582914573,0.02009899491833748,0.9933668341708544,0.008123935830336165
0.24623115577889448,0.982713567839196,0.021701562250120536,0.9857286432160803,0.01747877102890512
0.25125628140703515,0.9800909308446997,0.024383530342134557,0.9782723139507059,0.02295873829367453
0.2562814070351759,0.9804546542234984,0.023938061999345565,0.9713615697535296,0.01848248169945094
0.2613065326633166,0.9808183776022972,0.02349259365655657,0.9644508255563531,0.018050891690911536
0.2663316582914573,0.9789684352498422,0.021655578513583035,0.9623224346842438,0.01883878265787815
0.271356783919598,0.9758271878874893,0.020796520958794747,0.9629837499184234,0.01850812504078836
0.2763819095477387,0.9726895346296702,0.022209813456351767,0.9636006117544242,0.01809045226130652
0.2814070351758794,0.9698214392118697,0.01855177997565768,0.9608834687270343,0.011146642302421217
0.2864321608040201,0.9669533437940692,0.017017055674363155,0.9581663256996447,0.004202832343535823
0.2914572864321608,0.9641795936202753,0.014769499672274432,0.9567948437841383,1.1102230246251565e-16
0.2964824120603015,0.9615505061539583,0.008127594494210166,0.9574867089068532,0.0
0.30150753768844224,0.9589214186876411,0.0014856893161458995,0.9581785740295683,1.1102230246251565e-16
0.3065326633165829,0.9588274706867672,0.0,0.9588274706867672,0.0
0.31155778894472363,0.9594639865996651,1.1102230246251565e-16,0.9594639865996651,1.1102230246251565e-16
0.3165829145728643,0.9600927715500578,1.1102230246251565e-16,0.9600927715500578,1.1102230246251565e-16
0.32160804020100503,0.9606803247004251,1.1102230246251565e-16,0.9606803247004251,1.1102230246251565e-16
0.32663316582914576,0.9612678778507926,1.1102230246251565e-16,0.9612678778507926,1.1102230246251565e-16
0.3316582914572864,0.9618319517817004,1.1102230246251565e-16,0.9618319517817004,1.1102230246251565e-16
0.33668341708542715,0.962375982476485,1.1102230246251565e-16,0.962375982476485,1.1102230246251565e-16
0.3417085427135678,0.9629200131712693,1.1102230246251565e-16,0.9629200131712693,1.1102230246251565e-16
0.34673366834170855,0.9610889697529794,0.004678565239993038,0.9634282523729759,0.0
0.35175879396984927,0.9590543485535689,0.009758150357699868,0.9639334237324186,1.1102230246251565e-16
0.35678391959798994,0.9578024770816315,0.013251149012715492,0.9644280515879892,1.1102230246251565e-16
0.36180904522613067,0.9583543332425675,0.013088100601529849,0.9648983835433323,1.1102230246251565e-16
0.36683417085427134,0.9589061894035036,0.012925052190344167,0.9653687154986755,1.1102230246251565e-16
0.37185929648241206,0.9594331315457525,0.012768924339904952,0.9658175937157051,1.1102230246251565e-16
0.3768844221105528,0.9599485749101457,0.012615990594425641,0.9662565702073586,1.1102230246251565e-16
0.38190954773869346,0.9604618522721132,0.012463662398011577,0.9666936834711191,0.0
0.3869346733668342,0.9609443723996327,0.012319932998325012,0.967104338898795,1.1102230246251565e-16
0.3919597989949749,0.9614268925271521,0.012176203598638403,0.9675149943264711,0.0
0.3969849246231156,0.9608929299478822,0.011697097406867701,0.9679141676122548,0.0
0.4020100502512563,0.9591033122602258,0.012047351726441365,0.9682991570757011,0.0
0.40703517587939697,0.9573136945725697,0.013939909179544236,0.9686841465391474,0.0
0.4120603015075377,0.957413179981906,0.01425188386159685,0.9690497944266788,0.0
0.4170854271356784,0.9579024803160185,0.014095553059481791,0.9694114511953709,0.0
0.4221105527638191,0.958385817552238,0.013941040239626844,0.9697686292424692,1.1102230246251565e-16
0.4271356783919598,0.9588467931713571,0.013793344853247628,0.9701090120835909,0.0
0.4321608040201005,0.9593077687904765,0.013645649466868356,0.9704493949247126,1.1102230246251565e-16
0.4371859296482412,0.959753388792703,0.013502655758748235,0.9683374857480681,0.0029893270371366943
0.44221105527638194,0.9601884304810703,0.013362900984539917,0.9645362198480733,0.008037968255412033
0.4472361809045226,0.9606234721694372,0.013223146210331547,0.9607349539480783,0.013086609473687262
0.45226130653266333,0.9552755422895597,0.01032316829921853,0.9591839733336691,0.0156344456377612
0.457286432160804,0.9497713158808108,0.012670183319313478,0.9576938112404921,0.018529973449379802
0.4623115577889447,0.9464136404628338,0.01613011264425965,0.9561928986948823,0.01998663538230885
0.46733668341708545,0.9469515575836656,0.01597620401820808,0.954672476068932,0.018922520490374874
0.4723618090452261,0.9474894747044971,0.015822296099902416,0.9531520534429818,0.018668047150799807
0.47738693467336685,0.944122956394842,0.01792722112492538,0.9530921412328448,0.01861357990337157
0.4824120603015075,0.9393619968600133,0.02236411744166968,0.9535538398854981,0.018439015598600058
0.48743718592964824,0.9348270742930087,0.026886420404069553,0.9538032250055783,0.01833021874377161
0.49246231155778897,0.9319748713753622,0.026019427870648284,0.9524720538276121,0.01907307178050642
0.49748743718592964,0.9291226684577157,0.026987605836333986,0.951140882649646,0.020403918679914704
0.5025125628140703,0.9238552229339689,0.025028541344669916,0.9489307522154684,0.019394211970057633
0.507537688442211,0.9161725348041216,0.0216482885638278,0.9458416625250796,0.017390647033452687
0.5125628140703518,0.9084898466742743,0.02319167466092217,0.9427525728346907,0.018232596468204087
0.5175879396984925,0.9055623940770033,0.023822225695024107,0.9384934947631584,0.018569594282746165
0.5226130653266332,0.9032737044617205,0.024527773531139104,0.9340772540732635,0.020622154564370873
0.5276381909547738,0.9013681873196839,0.024473077477228686,0.9305444152612248,0.0227491593525778
0.5326633165829145,0.9005355531027368,0.020962835382761114,0.9294851017071828,0.021338810846918996
0.5376884422110553,0.8997029188857898,0.01745259328829354,0.9284257881531406,0.0204033098208366
0.542713567839196,0.897064595114163,0.012797387125232429,0.9284392473581194,0.020098910516402935
0.5477386934673367,0.8934312995471005,0.008502313289478175,0.9290438262466398,0.01994402882543349
0.5527638190954774,0.8898063191918485,0.007390683010129248,0.9295310156526109,0.019841385857687716
0.5577889447236181,0.8864890016735872,0.00593362565721829,0.9256747942042395,0.0218892069718314
0.5628140703517588,0.8831716841553258,0.006295056697274028,0.921818572755868,0.024285172441537283
0.5678391959798995,0.8810413250727427,0.007632911322554811,0.9197953991799445,0.02575271281257151
0.5728643216080402,0.8806339701709831,0.008926371367559634,0.920433101547897,0.0255654669142117
0.577889447236181,0.8802266152692233,0.010717734470558063,0.92107080391585,0.02537822243870941
0.5829145728643216,0.8788023139677209,0.011384913559035885,0.9182238922112294,0.02310974259001643
0.5879396984924623,0.8771068269596203,0.012438469448982734,0.914447750087256,0.0205456250950264
0.592964824120603,0.874991405354207,0.013346540912175337,0.910732964201135,0.018383150235252173
0.5979899497487438,0.8708409160848939,0.011487892874472385,0.9073155200830687,0.01737944415690823
0.6030150753768845,0.866690426815581,0.011551120620122932,0.9038980759650025,0.018142794601675245
0.6080402010050251,0.8653594081052127,0.012186278030477248,0.9013762135629186,0.020210349427368254
0.6130653266331658,0.8663108179425615,0.012112877790515394,0.8995793458832964,0.022516256716291243
