fold,acc,precision,npv,sensitivity,specificity,mcc,f1,roc_auc,aupr,tn,fp,fn,tp
1,0.890625,0.8676470460640141,0.9166666513888891,0.9218749855957034,0.8593749865722659,0.7827803636649541,0.8939393871671258,0.95263671875,0.9461751840955879,55.0,9.0,5.0,59.0
2,0.84251968503937,0.8644067650100549,0.8235293996539794,0.8095237966742255,0.8749999863281253,0.6862278792280807,0.8360655669174953,0.9308035714285714,0.9378276280283906,56.0,8.0,12.0,51.0
3,0.9133858267716536,0.9333333177777781,0.8955223746936959,0.8888888747795417,0.9374999853515628,0.8276213858467658,0.9105690982880561,0.9588293650793651,0.9627996361366267,60.0,4.0,7.0,56.0
4,0.8818897637795275,0.8656716288705727,0.8999999850000003,0.906249985839844,0.8571428435374152,0.764531400251004,0.8854961764465941,0.9588293650793651,0.9534246170904384,54.0,9.0,6.0,58.0
5,0.8818897637795275,0.9016393294813225,0.8636363505509644,0.8593749865722659,0.904761890400605,0.7647060941517816,0.8799999929600001,0.9446924603174602,0.9461409981199806,57.0,6.0,9.0,55.0
mean,0.8820620078740158,0.8865396174407485,0.8798709522575059,0.877182525892316,0.8867559384379948,0.7651734246285173,0.8812140443558543,0.9491582961309524,0.9492736126942048,56.4,7.2,7.8,55.8
