selected_index,feature_name,coefficient,abs_coefficient
605,FEGS_164,-0.7361233141495436,0.7361233141495436
617,FEGS_176,0.5567857723880892,0.5567857723880892
616,FEGS_175,0.4998535795230082,0.4998535795230082
62,BPF_62,-0.47507173024698146,0.47507173024698146
7,BPF_7,0.4002088682025323,0.4002088682025323
606,FEGS_165,-0.37406496293837044,0.37406496293837044
125,BPF_125,-0.3147420989593666,0.3147420989593666
853,FEGS_412,0.2931691296048185,0.2931691296048185
61,BPF_61,0.2790328622899074,0.2790328622899074
4,BPF_4,0.26006179348903835,0.26006179348903835
618,FEGS_177,0.25333417161310373,0.25333417161310373
103,BPF_103,0.2522021100194295,0.2522021100194295
10,BPF_10,0.24663751092690156,0.24663751092690156
1017,FEGS_576,0.2329956189561125,0.2329956189561125
117,BPF_117,0.23195220657964183,0.23195220657964183
628,FEGS_187,-0.23081397396587133,0.23081397396587133
131,BPF_131,0.2297594168123274,0.2297594168123274
1014,FEGS_573,0.22660901974973496,0.22660901974973496
828,FEGS_387,0.2218454485175827,0.2218454485175827
145,BPF_145,0.22011103905601673,0.22011103905601673
39,BPF_39,0.22004726883043788,0.22004726883043788
82,BPF_82,0.21805367487349273,0.21805367487349273
75,BPF_75,-0.21336178319847837,0.21336178319847837
6,BPF_6,-0.20566772823349838,0.20566772823349838
26,BPF_26,-0.19607518265207727,0.19607518265207727
908,FEGS_467,-0.19471278704615844,0.19471278704615844
741,FEGS_300,-0.18902032414676456,0.18902032414676456
893,FEGS_452,-0.18857191003696266,0.18857191003696266
166,BPF_166,0.18807639010918428,0.18807639010918428
9,BPF_9,0.17801191373521483,0.17801191373521483
14,BPF_14,-0.17624454417855429,0.17624454417855429
614,FEGS_173,-0.17302020382593408,0.17302020382593408
947,FEGS_506,0.1726442336636548,0.1726442336636548
837,FEGS_396,0.17137887558593237,0.17137887558593237
693,FEGS_252,0.16914094228710128,0.16914094228710128
609,FEGS_168,0.1678340945261846,0.1678340945261846
57,BPF_57,-0.15430973189480887,0.15430973189480887
817,FEGS_376,0.15426134385163293,0.15426134385163293
897,FEGS_456,0.1498017425988787,0.1498017425988787
173,BPF_173,0.14729958766013102,0.14729958766013102
957,FEGS_516,0.14524980504105342,0.14524980504105342
712,FEGS_271,0.1434645670341998,0.1434645670341998
115,BPF_115,-0.1418936187051072,0.1418936187051072
158,BPF_158,-0.1414930985308028,0.1414930985308028
638,FEGS_197,-0.1404931080343002,0.1404931080343002
997,FEGS_556,-0.14031525596531383,0.14031525596531383
17,BPF_17,0.1367476143829799,0.1367476143829799
140,BPF_140,0.13636206396430162,0.13636206396430162
222,BPF_222,-0.1350470837373302,0.1350470837373302
271,BPF_271,0.13406231661007917,0.13406231661007917
942,FEGS_501,-0.13329649482825617,0.13329649482825617
63,BPF_63,0.13259751817049206,0.13259751817049206
852,FEGS_411,0.1323765441742271,0.1323765441742271
1009,FEGS_568,0.13043387446053747,0.13043387446053747
177,BPF_177,0.13028913701573622,0.13028913701573622
36,BPF_36,-0.12963434122672712,0.12963434122672712
856,FEGS_415,0.1271082665891639,0.1271082665891639
771,FEGS_330,0.12532427962211576,0.12532427962211576
143,BPF_143,-0.12315814716692505,0.12315814716692505
677,FEGS_236,0.12302098973330604,0.12302098973330604
653,FEGS_212,0.12162303266304024,0.12162303266304024
19,BPF_19,0.12022005842348102,0.12022005842348102
54,BPF_54,0.11454534523716156,0.11454534523716156
96,BPF_96,-0.11260766184187804,0.11260766184187804
694,FEGS_253,0.11184862371368287,0.11184862371368287
633,FEGS_192,0.11128896631717115,0.11128896631717115
615,FEGS_174,-0.11010064802664053,0.11010064802664053
889,FEGS_448,0.10937709236633714,0.10937709236633714
105,BPF_105,0.10386825718347799,0.10386825718347799
824,FEGS_383,0.10281140447075895,0.10281140447075895
104,BPF_104,-0.10195066273353515,0.10195066273353515
603,FEGS_162,0.10032301536202777,0.10032301536202777
237,BPF_237,0.09860134848746147,0.09860134848746147
604,FEGS_163,-0.09592386778152417,0.09592386778152417
769,FEGS_328,-0.09574952482689267,0.09574952482689267
46,BPF_46,0.09516757612148534,0.09516757612148534
643,FEGS_202,0.09414092940277181,0.09414092940277181
1008,FEGS_567,0.09278269203438672,0.09278269203438672
601,FEGS_160,-0.09203893057019563,0.09203893057019563
873,FEGS_432,0.09187066872513959,0.09187066872513959
186,BPF_186,0.09127549113495212,0.09127549113495212
55,BPF_55,-0.09082524704447421,0.09082524704447421
29,BPF_29,0.09073128300447399,0.09073128300447399
898,FEGS_457,0.09029016293584416,0.09029016293584416
937,FEGS_496,0.08891492349810008,0.08891492349810008
146,BPF_146,-0.08859295601070875,0.08859295601070875
949,FEGS_508,-0.08705570749596639,0.08705570749596639
846,FEGS_405,0.08673732957788283,0.08673732957788283
631,FEGS_190,-0.08461258489230265,0.08461258489230265
995,FEGS_554,0.08450638884831128,0.08450638884831128
35,BPF_35,0.08422471875342034,0.08422471875342034
0,BPF_0,-0.08393951933461782,0.08393951933461782
65,BPF_65,-0.0814832950450182,0.0814832950450182
84,BPF_84,0.08141092802492259,0.08141092802492259
954,FEGS_513,-0.07820844448837719,0.07820844448837719
888,FEGS_447,-0.07754575987288312,0.07754575987288312
700,FEGS_259,0.0772275068893994,0.0772275068893994
